,year,business_id,personal_id,education_level,age,tenure,first_year_treatment,treatment,base_income
1156,2011,114,106,low,29,10,2014,0,26823.69930964455
1157,2012,114,106,low,30,11,2014,0,33204.87161068862
1158,2013,114,106,low,31,12,2014,0,31163.53097398319
1159,2014,114,106,low,32,13,2014,1,34050.337232982754
1160,2015,114,106,low,33,14,2014,1,30201.188570252853
1161,2016,114,106,low,34,15,2014,1,40281.885145181484
1162,2017,114,106,low,35,16,2014,1,33420.85506647281
1163,2018,114,106,low,36,17,2014,1,33409.202506086214
1164,2019,114,106,low,37,18,2014,1,39245.14086401928
1165,2020,114,106,low,38,19,2014,1,42579.50481267855
1166,2010,144,107,high,26,9,2012,0,34868.54563702104
1167,2011,144,107,high,27,10,2012,0,33727.818240104716
1168,2012,144,107,high,28,11,2012,1,39289.50868333057
1169,2013,144,107,high,29,12,2012,1,40306.831117560614
1170,2014,144,107,high,30,13,2012,1,40617.85717957353
1171,2015,144,107,high,31,14,2012,1,40162.38284793875
1172,2016,144,107,high,32,15,2012,1,40308.40220790375
1173,2017,144,107,high,33,16,2012,1,40474.813744200954
1174,2018,144,107,high,34,17,2012,1,39592.07082226665
1175,2019,144,107,high,35,18,2012,1,41038.64984626645
1176,2020,144,107,high,36,19,2012,1,38714.08637160923
1177,2010,164,108,medium,38,9,2014,0,32503.3207464105
1178,2011,164,108,medium,39,10,2014,0,31222.817785698164
1179,2012,164,108,medium,40,11,2014,0,31492.82136556846
1180,2013,164,108,medium,41,12,2014,0,34559.78830230696
1181,2014,164,108,medium,42,13,2014,1,42484.0045726892
1182,2015,164,108,medium,43,14,2014,1,42036.63321200463
1183,2016,164,108,medium,44,15,2014,1,37558.99879275364
1184,2017,164,108,medium,45,16,2014,1,39220.74372685933
1185,2018,164,108,medium,46,17,2014,1,43581.54237597643
1186,2019,164,108,medium,47,18,2014,1,40235.02521292338
1187,2020,164,108,medium,48,19,2014,1,42250.73370000595
1188,2010,188,109,medium,37,5,2015,0,32700.104198049103
1189,2011,188,109,medium,38,6,2015,0,30163.311090272728
1190,2012,188,109,medium,39,7,2015,0,32810.75101229192
1191,2013,188,109,medium,40,8,2015,0,30431.94901016359
1192,2014,188,109,medium,41,9,2015,0,32397.264712097574
1193,2015,188,109,medium,42,10,2015,1,39739.56386828508
1194,2016,188,109,medium,43,11,2015,1,36414.012532936664
1195,2017,188,109,medium,44,12,2015,1,40980.949475920796
1196,2018,188,109,medium,45,13,2015,1,40560.72440214664
1197,2019,188,109,medium,46,14,2015,1,42204.9799088343
1198,2020,188,109,medium,47,15,2015,1,42047.82826812932
1199,2010,170,110,high,53,9,2013,0,42928.280859947685
1200,2011,170,110,high,54,10,2013,0,40950.44900529581
1201,2012,170,110,high,55,11,2013,0,40341.188917749496
1202,2013,170,110,high,56,12,2013,1,46944.59500606457
1203,2014,170,110,high,57,13,2013,1,48286.59605807278
1204,2015,170,110,high,58,14,2013,1,47797.72014065141
1205,2016,170,110,high,59,15,2013,1,48281.18338240776
1206,2017,170,110,high,60,16,2013,1,47296.01662438649
1207,2018,170,110,high,61,17,2013,1,47874.1981648981
1208,2019,170,110,high,62,18,2013,1,46894.78945640061
1209,2020,170,110,high,63,19,2013,1,53699.15348637388
1210,2010,108,111,high,36,4,2012,0,31612.27352921743
1211,2011,108,111,high,37,5,2012,0,33214.18960440819
1212,2012,108,111,high,38,6,2012,1,38663.18546886161
1213,2013,108,111,high,39,7,2012,1,42389.84875388888
1214,2014,108,111,high,40,8,2012,1,40510.10064341594
1215,2015,108,111,high,41,9,2012,1,44095.484145347466
1216,2016,108,111,high,42,10,2012,1,40753.01875151226
1217,2017,108,111,high,43,11,2012,1,43157.9883244476
1218,2018,108,111,high,44,12,2012,1,41429.30589348049
1219,2019,108,111,high,45,13,2012,1,47890.298255546775
1220,2020,108,111,high,46,14,2012,1,41724.803161940974
1221,2010,187,112,low,31,2,2018,0,27819.641420454056
1222,2011,187,112,low,32,3,2018,0,28967.553761864197
1223,2012,187,112,low,33,4,2018,0,29027.598194902996
1224,2013,187,112,low,34,5,2018,0,28329.424682244582
1225,2014,187,112,low,35,6,2018,0,28940.35860053315
1226,2015,187,112,low,36,7,2018,0,29787.62294395822
1227,2016,187,112,low,37,8,2018,0,29905.995996743022
1228,2017,187,112,low,38,9,2018,0,32627.75823358982
1229,2018,187,112,low,39,10,2018,1,40621.0460031827
1230,2019,187,112,low,40,11,2018,1,35585.01642998433
1231,2020,187,112,low,41,12,2018,1,34460.39404084184
1232,2010,100,113,medium,26,6,2018,0,28323.43590329749
1233,2011,100,113,medium,27,7,2018,0,34159.41867530864
1234,2012,100,113,medium,28,8,2018,0,27892.65086406054
1235,2013,100,113,medium,29,9,2018,0,33278.233610888135
1236,2014,100,113,medium,30,10,2018,0,33855.40162815288
1237,2015,100,113,medium,31,11,2018,0,29892.823516584012
1238,2016,100,113,medium,32,12,2018,0,32637.96615837055
1239,2017,100,113,medium,33,13,2018,0,35256.793246257075
1240,2018,100,113,medium,34,14,2018,1,36741.74451802503
1241,2019,100,113,medium,35,15,2018,1,37592.83927979528
1242,2020,100,113,medium,36,16,2018,1,37336.638172102714
1243,2010,107,114,high,37,4,2017,0,32370.486538614266
1244,2011,107,114,high,38,5,2017,0,33601.44490986798
1245,2012,107,114,high,39,6,2017,0,32952.11946647549
1246,2013,107,114,high,40,7,2017,0,35968.16693651845
1247,2014,107,114,high,41,8,2017,0,34860.05353788272
1248,2015,107,114,high,42,9,2017,0,37367.57182358149
1249,2016,107,114,high,43,10,2017,0,34288.20870759275
1250,2017,107,114,high,44,11,2017,1,43561.76046442892
1251,2018,107,114,high,45,12,2017,1,45067.05792321785
1252,2019,107,114,high,46,13,2017,1,39912.528714857086
1253,2020,107,114,high,47,14,2017,1,45148.113139695146
1254,2010,187,115,medium,38,6,2016,0,34555.337984946585
1255,2011,187,115,medium,39,7,2016,0,30180.71796261759
1256,2012,187,115,medium,40,8,2016,0,36445.144773675405
1257,2013,187,115,medium,41,9,2016,0,34438.03801873209
1258,2014,187,115,medium,42,10,2016,0,32689.976288483183
1259,2015,187,115,medium,43,11,2016,0,34488.461844684585
1260,2016,187,115,medium,44,12,2016,1,41216.653825043446
1261,2017,187,115,medium,45,13,2016,1,40752.01078282482
1262,2018,187,115,medium,46,14,2016,1,42177.511984892735
1263,2019,187,115,medium,47,15,2016,1,39758.65281384127
1264,2020,187,115,medium,48,16,2016,1,42438.721648072154
1265,2010,162,116,low,51,3,2015,0,30572.57100619004
1266,2011,162,116,low,52,4,2015,0,33677.5478773026
1267,2012,162,116,low,53,5,2015,0,32592.18471707042
1268,2013,162,116,low,54,6,2015,0,33428.94011482046
1269,2014,162,116,low,55,7,2015,0,37872.186350420874
1270,2015,162,116,low,56,8,2015,1,43082.62024118854
1271,2016,162,116,low,57,9,2015,1,42618.276241814354
1272,2017,162,116,low,58,10,2015,1,39715.37447065484
1273,2018,162,116,low,59,11,2015,1,41767.1831006104
1274,2019,162,116,low,60,12,2015,1,45326.195399958364
1275,2020,162,116,low,61,13,2015,1,43683.43382727981
1276,2010,110,117,medium,41,6,2012,0,37638.659079963385
1277,2011,110,117,medium,42,7,2012,0,34286.63567878874
1278,2012,110,117,medium,43,8,2012,1,39384.09823298006
1279,2013,110,117,medium,44,9,2012,1,38881.767071595
1280,2014,110,117,medium,45,10,2012,1,40267.081809564566
1281,2015,110,117,medium,46,11,2012,1,40195.06032723891
1282,2016,110,117,medium,47,12,2012,1,42416.21735337718
1283,2017,110,117,medium,48,13,2012,1,43413.40463358917
1284,2018,110,117,medium,49,14,2012,1,40428.0210789841
1285,2019,110,117,medium,50,15,2012,1,39837.534092884445
1286,2020,110,117,medium,51,16,2012,1,39327.589253793405
1287,2010,180,118,high,33,2,2018,0,33815.982653825085
1288,2011,180,118,high,34,3,2018,0,31093.266787652254
1289,2012,180,118,high,35,4,2018,0,29494.218814095035
1290,2013,180,118,high,36,5,2018,0,35077.15720906193
1291,2014,180,118,high,37,6,2018,0,39785.999034865585
1292,2015,180,118,high,38,7,2018,0,35287.858176920214
1293,2016,180,118,high,39,8,2018,0,37476.981548903284
1294,2017,180,118,high,40,9,2018,0,36463.65871709513
1295,2018,180,118,high,41,10,2018,1,41602.22069361772
1296,2019,180,118,high,42,11,2018,1,44138.15296597554
1297,2020,180,118,high,43,12,2018,1,42219.4509116227
1298,2010,107,119,medium,41,2,2016,0,32734.784628143807
1299,2011,107,119,medium,42,3,2016,0,33343.39561239203
1300,2012,107,119,medium,43,4,2016,0,31863.819092713904
1301,2013,107,119,medium,44,5,2016,0,35684.08469907304
1302,2014,107,119,medium,45,6,2016,0,33850.080486609186
1303,2015,107,119,medium,46,7,2016,0,33188.50968101431
1304,2016,107,119,medium,47,8,2016,1,41273.019687140804
1305,2017,107,119,medium,48,9,2016,1,38903.06403641793
1306,2018,107,119,medium,49,10,2016,1,41256.36231473825
1307,2019,107,119,medium,50,11,2016,1,41681.76200671159
1308,2020,107,119,medium,51,12,2016,1,44371.79113166316
1309,2010,134,120,medium,32,9,2018,0,31849.396465759906
1310,2011,134,120,medium,33,10,2018,0,31349.946082509712
1311,2012,134,120,medium,34,11,2018,0,33535.532598400576
1312,2013,134,120,medium,35,12,2018,0,35180.415098034624
1313,2014,134,120,medium,36,13,2018,0,34015.62061270372
1314,2015,134,120,medium,37,14,2018,0,33420.70523968676
1315,2016,134,120,medium,38,15,2018,0,31276.32753529968
1316,2017,134,120,medium,39,16,2018,0,32269.772673849257
1317,2018,134,120,medium,40,17,2018,1,39289.55059129067
1318,2019,134,120,medium,41,18,2018,1,39180.97559568143
1319,2020,134,120,medium,42,19,2018,1,40526.05739402911
1320,2010,134,121,high,26,7,2012,0,31813.299849794214
1321,2011,134,121,high,27,8,2012,0,33259.38550871346
1322,2012,134,121,high,28,9,2012,1,37559.002443881815
1323,2013,134,121,high,29,10,2012,1,39173.003287652406
1324,2014,134,121,high,30,11,2012,1,38828.94882962024
1325,2015,134,121,high,31,12,2012,1,35249.066867292255
1326,2016,134,121,high,32,13,2012,1,37821.32921236249
1327,2017,134,121,high,33,14,2012,1,39911.82488855677
1328,2018,134,121,high,34,15,2012,1,38280.610514317785
1329,2019,134,121,high,35,16,2012,1,42399.85745999241
1330,2020,134,121,high,36,17,2012,1,44761.50166468739
1331,2010,132,122,low,52,3,2014,0,36137.52370339463
1332,2011,132,122,low,53,4,2014,0,33773.11425813958
1333,2012,132,122,low,54,5,2014,0,37681.452273699906
1334,2013,132,122,low,55,6,2014,0,35497.33491440422
1335,2014,132,122,low,56,7,2014,1,40025.82805776392
1336,2015,132,122,low,57,8,2014,1,39973.19467291812
1337,2016,132,122,low,58,9,2014,1,41095.06062702374
1338,2017,132,122,low,59,10,2014,1,41423.64636291754
1339,2018,132,122,low,60,11,2014,1,43040.83244475097
1340,2019,132,122,low,61,12,2014,1,43521.14796209973
1341,2020,132,122,low,62,13,2014,1,43706.09204030683
1342,2010,104,123,low,48,1,2012,0,32973.8763394927
1343,2011,104,123,low,49,2,2012,0,34981.29254957268
1344,2012,104,123,low,50,3,2012,1,39999.10827088265
1345,2013,104,123,low,51,4,2012,1,35630.204063100195
1346,2014,104,123,low,52,5,2012,1,33992.15773019609
1347,2015,104,123,low,53,6,2012,1,41468.639822478544
1348,2016,104,123,low,54,7,2012,1,37366.24260316916
1349,2017,104,123,low,55,8,2012,1,40150.46919621463
1350,2018,104,123,low,56,9,2012,1,38759.77394788128
1351,2019,104,123,low,57,10,2012,1,37996.03912483996
1352,2020,104,123,low,58,11,2012,1,43182.925456409575
1353,2010,140,124,medium,37,8,2017,0,33718.31032060529
1354,2011,140,124,medium,38,9,2017,0,31546.97919854656
1355,2012,140,124,medium,39,10,2017,0,28017.91541571018
1356,2013,140,124,medium,40,11,2017,0,32607.511103495035
1357,2014,140,124,medium,41,12,2017,0,34983.608010805096
1358,2015,140,124,medium,42,13,2017,0,31742.176862451743
1359,2016,140,124,medium,43,14,2017,0,35566.71983955831
1360,2017,140,124,medium,44,15,2017,1,40669.38030165401
1361,2018,140,124,medium,45,16,2017,1,42358.582999202175
1362,2019,140,124,medium,46,17,2017,1,41939.16073682831
1363,2020,140,124,medium,47,18,2017,1,40253.86211823689
1364,2010,127,125,high,27,6,2012,0,34193.14300332898
1365,2011,127,125,high,28,7,2012,0,31982.94085394606
1366,2012,127,125,high,29,8,2012,1,37745.390920980135
1367,2013,127,125,high,30,9,2012,1,36433.464081853606
1368,2014,127,125,high,31,10,2012,1,37913.43549761698
1369,2015,127,125,high,32,11,2012,1,37530.3945719462
1370,2016,127,125,high,33,12,2012,1,39454.107880153155
1371,2017,127,125,high,34,13,2012,1,43723.41696028469
1372,2018,127,125,high,35,14,2012,1,38056.197714137284
1373,2019,127,125,high,36,15,2012,1,38072.87720424652
1374,2020,127,125,high,37,16,2012,1,44742.340654987216
1375,2010,106,126,medium,40,7,2012,0,32481.352645696268
1376,2011,106,126,medium,41,8,2012,0,32061.854522680165
1377,2012,106,126,medium,42,9,2012,1,40979.80937479215
1378,2013,106,126,medium,43,10,2012,1,38188.76892052627
1379,2014,106,126,medium,44,11,2012,1,43552.019427093874
1380,2015,106,126,medium,45,12,2012,1,41755.85174267854
1381,2016,106,126,medium,46,13,2012,1,39924.1771837086
1382,2017,106,126,medium,47,14,2012,1,45714.61642653101
1383,2018,106,126,medium,48,15,2012,1,40688.57015399332
1384,2019,106,126,medium,49,16,2012,1,43884.19074401861
1385,2020,106,126,medium,50,17,2012,1,43498.58516081298
1386,2010,172,127,medium,30,9,2017,0,32903.48257879759
1387,2011,172,127,medium,31,10,2017,0,33923.022393453706
1388,2012,172,127,medium,32,11,2017,0,31364.00829813153
1389,2013,172,127,medium,33,12,2017,0,30293.164259307632
1390,2014,172,127,medium,34,13,2017,0,33219.944285878235
1391,2015,172,127,medium,35,14,2017,0,31444.569260495788
1392,2016,172,127,medium,36,15,2017,0,37326.77449505324
1393,2017,172,127,medium,37,16,2017,1,39073.070662165475
1394,2018,172,127,medium,38,17,2017,1,38569.35689737578
1395,2019,172,127,medium,39,18,2017,1,40169.36061172982
1396,2020,172,127,medium,40,19,2017,1,37605.74742094061
1397,2010,171,128,medium,43,5,2015,0,31456.771922978696
1398,2011,171,128,medium,44,6,2015,0,36300.82781588885
1399,2012,171,128,medium,45,7,2015,0,33086.21144205721
1400,2013,171,128,medium,46,8,2015,0,32806.17803463612
1401,2014,171,128,medium,47,9,2015,0,36473.30550505457
1402,2015,171,128,medium,48,10,2015,1,43271.40830932599
1403,2016,171,128,medium,49,11,2015,1,42837.906621330134
1404,2017,171,128,medium,50,12,2015,1,43892.095371611635
1405,2018,171,128,medium,51,13,2015,1,40886.40982286108
1406,2019,171,128,medium,52,14,2015,1,40056.37866651631
1407,2020,171,128,medium,53,15,2015,1,46402.667303910974
1408,2010,111,129,medium,54,1,2012,0,35254.640322315725
1409,2011,111,129,medium,55,2,2012,0,35898.33396708991
1410,2012,111,129,medium,56,3,2012,1,44556.388283698114
1411,2013,111,129,medium,57,4,2012,1,43512.46001880132
1412,2014,111,129,medium,58,5,2012,1,43811.77554416322
1413,2015,111,129,medium,59,6,2012,1,47730.00468980217
1414,2016,111,129,medium,60,7,2012,1,42612.96353923972
1415,2017,111,129,medium,61,8,2012,1,46255.68025616247
1416,2018,111,129,medium,62,9,2012,1,45014.026249794166
1417,2019,111,129,medium,63,10,2012,1,45937.18455772651
1418,2020,111,129,medium,64,11,2012,1,48956.93685282506
1419,2010,133,130,medium,31,7,2017,0,31215.671512579247
1420,2011,133,130,medium,32,8,2017,0,31776.592158099265
1421,2012,133,130,medium,33,9,2017,0,33345.014674619604
1422,2013,133,130,medium,34,10,2017,0,30970.09454091423
1423,2014,133,130,medium,35,11,2017,0,30521.580665321988
1424,2015,133,130,medium,36,12,2017,0,30610.38161195793
1425,2016,133,130,medium,37,13,2017,0,29267.286821247995
1426,2017,133,130,medium,38,14,2017,1,42812.41425988064
1427,2018,133,130,medium,39,15,2017,1,36993.583268556635
1428,2019,133,130,medium,40,16,2017,1,39257.49275282845
1429,2020,133,130,medium,41,17,2017,1,39646.37340022216
1430,2010,132,131,high,34,5,2016,0,34314.8133956182
1431,2011,132,131,high,35,6,2016,0,35831.474425078595
1432,2012,132,131,high,36,7,2016,0,36420.94697671949
1433,2013,132,131,high,37,8,2016,0,34033.84512286212
1434,2014,132,131,high,38,9,2016,0,35365.75657242718
1435,2015,132,131,high,39,10,2016,0,36765.1599009766
1436,2016,132,131,high,40,11,2016,1,41202.6177476329
1437,2017,132,131,high,41,12,2016,1,45414.69115203999
1438,2018,132,131,high,42,13,2016,1,43681.9499032765
1439,2019,132,131,high,43,14,2016,1,44669.75557209963
1440,2020,132,131,high,44,15,2016,1,45025.76253733483
1441,2010,147,132,medium,33,3,2014,0,32346.94771497065
1442,2011,147,132,medium,34,4,2014,0,30862.043117407415
1443,2012,147,132,medium,35,5,2014,0,28406.336104088306
1444,2013,147,132,medium,36,6,2014,0,32299.375903505283
1445,2014,147,132,medium,37,7,2014,1,35697.286212416344
1446,2015,147,132,medium,38,8,2014,1,36442.766636500484
1447,2016,147,132,medium,39,9,2014,1,39172.728037510184
1448,2017,147,132,medium,40,10,2014,1,40976.56614286727
1449,2018,147,132,medium,41,11,2014,1,39042.54315347212
1450,2019,147,132,medium,42,12,2014,1,40117.66602519793
1451,2020,147,132,medium,43,13,2014,1,43404.429889270476
1452,2010,122,133,medium,26,9,2014,0,29581.506358977138
1453,2011,122,133,medium,27,10,2014,0,34803.36622836079
1454,2012,122,133,medium,28,11,2014,0,31231.01929126309
1455,2013,122,133,medium,29,12,2014,0,27078.474481688365
1456,2014,122,133,medium,30,13,2014,1,37606.68324220907
1457,2015,122,133,medium,31,14,2014,1,37362.31676976556
1458,2016,122,133,medium,32,15,2014,1,39679.505508165494
1459,2017,122,133,medium,33,16,2014,1,38946.36270253992
1460,2018,122,133,medium,34,17,2014,1,37823.08803203245
1461,2019,122,133,medium,35,18,2014,1,36151.403527421266
1462,2020,122,133,medium,36,19,2014,1,38681.95348542795
1463,2010,161,134,medium,52,1,2012,0,33598.9590915814
1464,2011,161,134,medium,53,2,2012,0,34638.95310039056
1465,2012,161,134,medium,54,3,2012,1,42477.15680884122
1466,2013,161,134,medium,55,4,2012,1,45139.80900870281
1467,2014,161,134,medium,56,5,2012,1,43089.343059645966
1468,2015,161,134,medium,57,6,2012,1,40408.23387592963
1469,2016,161,134,medium,58,7,2012,1,44189.20533644028
1470,2017,161,134,medium,59,8,2012,1,46193.262973291305
1471,2018,161,134,medium,60,9,2012,1,43080.43419136124
1472,2019,161,134,medium,61,10,2012,1,44531.96566665416
1473,2020,161,134,medium,62,11,2012,1,45329.3763894584
1474,2010,187,135,medium,52,1,2015,0,33730.20337383552
1475,2011,187,135,medium,53,2,2015,0,37096.56086768772
1476,2012,187,135,medium,54,3,2015,0,36058.103702784436
1477,2013,187,135,medium,55,4,2015,0,37639.06488781406
1478,2014,187,135,medium,56,5,2015,0,35525.0156443958
1479,2015,187,135,medium,57,6,2015,1,41925.08339935318
1480,2016,187,135,medium,58,7,2015,1,44744.76271565554
1481,2017,187,135,medium,59,8,2015,1,43054.333695816465
1482,2018,187,135,medium,60,9,2015,1,47753.92770246681
1483,2019,187,135,medium,61,10,2015,1,44000.727628770794
1484,2020,187,135,medium,62,11,2015,1,45749.36945150377
1485,2010,136,136,medium,39,1,2015,0,33265.18166374618
1486,2011,136,136,medium,40,2,2015,0,29063.26853413394
1487,2012,136,136,medium,41,3,2015,0,28878.382376038448
1488,2013,136,136,medium,42,4,2015,0,29848.68737085981
1489,2014,136,136,medium,43,5,2015,0,35925.16820685437
1490,2015,136,136,medium,44,6,2015,1,37796.28370821511
1491,2016,136,136,medium,45,7,2015,1,44516.398571336504
1492,2017,136,136,medium,46,8,2015,1,38771.504802685224
1493,2018,136,136,medium,47,9,2015,1,40769.10260639407
1494,2019,136,136,medium,48,10,2015,1,43984.21990513575
1495,2020,136,136,medium,49,11,2015,1,45412.18577631825
1496,2010,198,137,medium,54,3,2016,0,40423.007153272796
1497,2011,198,137,medium,55,4,2016,0,39216.732461186286
1498,2012,198,137,medium,56,5,2016,0,39348.12505162293
1499,2013,198,137,medium,57,6,2016,0,38985.053898402366
1500,2014,198,137,medium,58,7,2016,0,39856.72215233328
1501,2015,198,137,medium,59,8,2016,0,37697.62856734293
1502,2016,198,137,medium,60,9,2016,1,42663.60223315538
1503,2017,198,137,medium,61,10,2016,1,44793.2510851781
1504,2018,198,137,medium,62,11,2016,1,44959.63075495014
1505,2019,198,137,medium,63,12,2016,1,44893.54390134545
1506,2020,198,137,medium,64,13,2016,1,47692.77489491343
1507,2010,143,138,medium,29,6,2012,0,31310.610417141022
1508,2011,143,138,medium,30,7,2012,0,30076.813772583693
1509,2012,143,138,medium,31,8,2012,1,38355.06016211052
1510,2013,143,138,medium,32,9,2012,1,33616.62177173299
1511,2014,143,138,medium,33,10,2012,1,36012.68108144056
1512,2015,143,138,medium,34,11,2012,1,35466.35535879439
1513,2016,143,138,medium,35,12,2012,1,33666.92676585388
1514,2017,143,138,medium,36,13,2012,1,37734.6386283146
1515,2018,143,138,medium,37,14,2012,1,38156.50498323343
1516,2019,143,138,medium,38,15,2012,1,41926.89948648426
1517,2020,143,138,medium,39,16,2012,1,40661.623369109555
1518,2010,185,139,low,53,3,2014,0,31951.62635134159
1519,2011,185,139,low,54,4,2014,0,38208.185132668375
1520,2012,185,139,low,55,5,2014,0,37442.0673910507
1521,2013,185,139,low,56,6,2014,0,36664.19540693723
1522,2014,185,139,low,57,7,2014,1,40547.031802300335
1523,2015,185,139,low,58,8,2014,1,39581.12152655304
1524,2016,185,139,low,59,9,2014,1,41255.586447857895
1525,2017,185,139,low,60,10,2014,1,44677.497239408374
1526,2018,185,139,low,61,11,2014,1,46769.17261186922
1527,2019,185,139,low,62,12,2014,1,46586.48705654438
1528,2020,185,139,low,63,13,2014,1,43022.30115642745
1529,2010,190,140,low,46,8,2015,0,30660.765133421977
1530,2011,190,140,low,47,9,2015,0,33681.772493822406
1531,2012,190,140,low,48,10,2015,0,30363.121268874296
1532,2013,190,140,low,49,11,2015,0,35046.335428369566
1533,2014,190,140,low,50,12,2015,0,34604.794827402664
1534,2015,190,140,low,51,13,2015,1,39467.926996263515
1535,2016,190,140,low,52,14,2015,1,37710.593865466406
1536,2017,190,140,low,53,15,2015,1,42427.20021313943
1537,2018,190,140,low,54,16,2015,1,40834.598320676174
1538,2019,190,140,low,55,17,2015,1,40060.16632857942
1539,2020,190,140,low,56,18,2015,1,37155.4755734367
1540,2010,134,141,medium,28,2,2012,0,28244.970189898726
1541,2011,134,141,medium,29,3,2012,0,32344.50319333949
1542,2012,134,141,medium,30,4,2012,1,37622.51842909574
1543,2013,134,141,medium,31,5,2012,1,33885.807486827456
1544,2014,134,141,medium,32,6,2012,1,34095.57587927644
1545,2015,134,141,medium,33,7,2012,1,36737.548512150046
1546,2016,134,141,medium,34,8,2012,1,34303.229121623415
1547,2017,134,141,medium,35,9,2012,1,37403.58379963893
1548,2018,134,141,medium,36,10,2012,1,38832.16055676938
1549,2019,134,141,medium,37,11,2012,1,40253.86644776862
1550,2020,134,141,medium,38,12,2012,1,38099.69184704009
1551,2010,164,142,medium,44,9,2018,0,34092.652499646065
1552,2011,164,142,medium,45,10,2018,0,33244.03482648688
1553,2012,164,142,medium,46,11,2018,0,33846.23929192028
1554,2013,164,142,medium,47,12,2018,0,35547.04221619695
1555,2014,164,142,medium,48,13,2018,0,37234.73101363236
1556,2015,164,142,medium,49,14,2018,0,38827.1692524665
1557,2016,164,142,medium,50,15,2018,0,35893.64209863931
1558,2017,164,142,medium,51,16,2018,0,40985.377137919044
1559,2018,164,142,medium,52,17,2018,1,42957.752797914865
1560,2019,164,142,medium,53,18,2018,1,43957.26541130313
1561,2020,164,142,medium,54,19,2018,1,43005.576641704356
1562,2010,198,143,medium,28,3,2015,0,23651.519479454117
1563,2011,198,143,medium,29,4,2015,0,30768.090792722098
1564,2012,198,143,medium,30,5,2015,0,30973.687794184865
1565,2013,198,143,medium,31,6,2015,0,29437.344885763574
1566,2014,198,143,medium,32,7,2015,0,30633.981434449743
1567,2015,198,143,medium,33,8,2015,1,37031.8784354082
1568,2016,198,143,medium,34,9,2015,1,33374.90828622691
1569,2017,198,143,medium,35,10,2015,1,35941.89464530741
1570,2018,198,143,medium,36,11,2015,1,39088.52935924366
1571,2019,198,143,medium,37,12,2015,1,35491.421153661504
1572,2020,198,143,medium,38,13,2015,1,39087.11586433326
1573,2010,146,144,medium,42,5,2017,0,30386.83639075319
1574,2011,146,144,medium,43,6,2017,0,34532.85996486705
1575,2012,146,144,medium,44,7,2017,0,34028.71703540503
1576,2013,146,144,medium,45,8,2017,0,31369.73636818898
1577,2014,146,144,medium,46,9,2017,0,37429.47870891434
1578,2015,146,144,medium,47,10,2017,0,34130.816846403904
1579,2016,146,144,medium,48,11,2017,0,34479.49512597124
1580,2017,146,144,medium,49,12,2017,1,42001.13839446189
1581,2018,146,144,medium,50,13,2017,1,44397.27469885743
1582,2019,146,144,medium,51,14,2017,1,40568.3563620432
1583,2020,146,144,medium,52,15,2017,1,43223.359699695946
1584,2010,177,145,medium,28,8,2018,0,30357.633000661146
1585,2011,177,145,medium,29,9,2018,0,31386.211214526287
1586,2012,177,145,medium,30,10,2018,0,30852.88311055445
1587,2013,177,145,medium,31,11,2018,0,30265.944321833354
1588,2014,177,145,medium,32,12,2018,0,29844.819558702562
1589,2015,177,145,medium,33,13,2018,0,32172.287766092748
1590,2016,177,145,medium,34,14,2018,0,30355.721976028784
1591,2017,177,145,medium,35,15,2018,0,27157.299033010786
1592,2018,177,145,medium,36,16,2018,1,39373.11960831533
1593,2019,177,145,medium,37,17,2018,1,40807.86968217239
1594,2020,177,145,medium,38,18,2018,1,34774.13512891632
1595,2010,102,146,low,51,2,2015,0,31180.538590580123
1596,2011,102,146,low,52,3,2015,0,34938.3085220104
1597,2012,102,146,low,53,4,2015,0,38314.9909394234
1598,2013,102,146,low,54,5,2015,0,34741.58741535082
1599,2014,102,146,low,55,6,2015,0,33743.99411754173
1600,2015,102,146,low,56,7,2015,1,40334.20711779032
1601,2016,102,146,low,57,8,2015,1,43949.75283829637
1602,2017,102,146,low,58,9,2015,1,40408.07164175093
1603,2018,102,146,low,59,10,2015,1,40601.61598669949
1604,2019,102,146,low,60,11,2015,1,41734.51295563593
1605,2020,102,146,low,61,12,2015,1,41293.34278348258
1606,2010,100,147,high,41,6,2014,0,36245.34063198959
1607,2011,100,147,high,42,7,2014,0,39749.35691693912
1608,2012,100,147,high,43,8,2014,0,37646.15854623206
1609,2013,100,147,high,44,9,2014,0,36995.292995747426
1610,2014,100,147,high,45,10,2014,1,42416.377462168915
1611,2015,100,147,high,46,11,2014,1,40373.618382606684
1612,2016,100,147,high,47,12,2014,1,45766.219554294315
1613,2017,100,147,high,48,13,2014,1,44344.325605974394
1614,2018,100,147,high,49,14,2014,1,44639.04017281875
1615,2019,100,147,high,50,15,2014,1,51886.21513568972
1616,2020,100,147,high,51,16,2014,1,46597.50581673137
1617,2010,104,148,medium,36,5,2013,0,29796.417899809632
1618,2011,104,148,medium,37,6,2013,0,30947.284807588912
1619,2012,104,148,medium,38,7,2013,0,34596.89141839351
1620,2013,104,148,medium,39,8,2013,1,38026.54082107553
1621,2014,104,148,medium,40,9,2013,1,35423.44404336526
1622,2015,104,148,medium,41,10,2013,1,40638.45786915041
1623,2016,104,148,medium,42,11,2013,1,37963.71182892201
1624,2017,104,148,medium,43,12,2013,1,43546.595552435094
1625,2018,104,148,medium,44,13,2013,1,42460.096131429294
1626,2019,104,148,medium,45,14,2013,1,39905.3562086825
